List 1,List 2,List 1|List 2
MATN3,THUMPD3,
SERPINF1,CPSF2,
CRP,RP11-418J17.1,
FCRL2,RP11-356C4.5,
ANGPTL3,N4BP2L2,
CHIT1,TMEM14C,
TRPC4,TADA2A,
TPT1,TGS1,
PDZD2,AC093323.3,
PEBP4,GINM1,
CD180,ARSB,
CHL1,RP11-403A21.2,
TRPM1,HINFP,
PTGFRN,ERVK13-1,
NOTCH2,ARHGEF7,
SAA2,NAPG,
CFHR4,WASH2P,
CRB1,B4GALT7,
CFHR5,DAD1,
GIF,TMEM209,
TCN1,RP11-1398P2.1,
COL4A2,DHRS4-AS1,
ADAMTS8,MGRN1,
CD63,ZG16B,
LACRT,TRBV11-2,
ITGA7,RP11-531H8.2,
MIP,METTL21D,
KCNK1,GCN1L1,
WNT10A,CA15P1,
EDAR,TAMM41,
ADAMTS7,SLC39A10,
CHAD,LHPP,
GH2,CCT6P3,
CSH1,POPDC2,
IL36G,NBN,
IL1RN,PPP1R17,
IL36RN,SMUG1,
IL36B,SLC1A4,
IL1F10,TCIRG1,
NOV,PM20D1,
IL33,TACC1,
CCL21,LINC00565,
IGFBPL1,UBR7,
TINAG,IPMK,
ITGA11,HAR1A,
MSMB,IFT88,
ADAMTS14,ZC3H3,
SEMA7A,IL9RP3,
FGF5,RP11-96H19.1,
IL21,PER3,
MMRN1,DBF4B,
CXCL9,AC009299.3,
EGF,MICAL1,
CD27,ZNF600,
COL2A1,PIGCP1,
INHBE,DANCR,
LUM,SEC23B,
KERA,GJB6,
DHH,C7orf34,
NPFF,RAD54B,
SERPINA10,AP006621.6,
FGF7,RP11-196G11.2,
ADAMTS17,USP40,
PCSK6,UBE2F,
HAPLN3,DDX24,
ADAMTS18,GGTA1P,
CDH13,FLVCR2,
CTRL,GLT25D1,
GFOD2,RP11-1070N10.3,
ADCYAP1,PSMD13,
ASGR1,ZNF668,
TNFRSF11A,TADA3,
IL19,RP11-324E6.6,
ADAMTS10,ERCC3,
CELA2A,C19orf54,
PROK1,DAAM1,
DPT,RP13-578N3.3,
FCGR2A,MNDA,
F13B,CCT5,
HDGF,CHRM3-AS2,
S100A7,WDFY2,
GALNT2,CCDC53,
GDF7,MSX2P1,
TMEFF2,TGIF1,
CNTN4,AC017099.3,
PTPRG,SREBF1,
COL8A1,RP13-942N8.1,
BOC,NXPE3,
TRPC1,RAP1GDS1,
SLIT2,PGAP3,
SFRP2,FXYD6,
HAPLN1,RP11-384K6.2,
ADAMTS19,ANKRD35,
LECT2,SNRNP48,
GFRA3,C16orf72,
TNFRSF21,WAC-AS1,
RSPO3,RP11-259G18.3,
IFNK,CTB-41I6.2,
CRB2,MIF4GD,
LCN9,TMEM119,
SAA4,BANF1,
SCGB1A1,IGHV4-4,
ESAM,CTBP1,
PCDH15,ADI1,
CTF1,NRDE2,
CRIM1,ZNF79,
LYZL2,LRRC58,
ADAMTS12,ZNF175,
BICD1,MTHFS,
GUCY1A2,RP11-53B2.2,
MEPE,IGLV9-49,
BMP3,RTN1,
BMP6,NANP,
PLA2R1,RP11-420K14.3,
KCNJ16,NSMAF,
JAM2,SESN3,
WNT7A,RPA2,
DKK2,LYPD2,
TTN,ZNF91,
WIF1,HELLS,
ADAMTS3,BORA,
ADAMTSL3,POLR1B,
ATP2B2,HIBADH,
LYZL4,CORO2A,
LRP8,HLA-L,
ST3GAL2,CFDP1,
KCNJ6,CCZ1,
ACAN,FBXO38,
SLAMF8,GLIPR1,
EDA,ZDHHC2,
FGF17,C17orf80,
MPZ,BEST1,
WNT9B,FASTKD1,
LAD1,MFN1,
STC1,RP11-554I8.1,
GIP,SERINC2,
SCUBE1,HMGN4,
PSKH1,NLRP9P,
KALRN,SGPL1,
CILP2,NT5C2,
TFF2,SNHG7,
TFF1,ZNF470,
ADAMTS13,DDX52,
LCN1,ATP6V1D,
LY6K,LRRC37A,
DMKN,TIMM22,
DCD,CLTCL1,
CD300LG,DHX34,
ITIH3,WDR19,
WNT4,RP11-797A18.3,
SCNN1D,THAP6,
KCNT2,LACTB2,
CADM3,SEC13,
IGSF8,LIMA1,
SLAMF6,NME8,
OLFML2B,KDM5A,
IL20,ZNF702P,
IL24,FBXL13,
FRZB,RP11-62H7.2,
BMP10,TTLL12,
NPPC,SUOX,
SSR2,GRINA,
IHH,PKP4,
FBLN2,FHIT,
FCRL1,MYO1G,
ADAMTS9,SNORA16,
PCOLCE2,TMEM71,
CXCL3,FAM213A,
PPBP,PHYH,
PF4,CCDC126,
PLXNB1,RBM23,
HHIP,PABPC1L,
EDIL3,RP11-325P15.1,
F2RL2,RP11-44F14.8,
SPINK1,CAND2,
EGFLAM,SMIM12,
IL3,COG1,
IL22RA2,RNF166,
COL1A2,DUTP6,
TNFRSF11B,AC008746.12,
DEFA4,FAM159A,
DEFA6,STAB1,
FREM1,DDRGK1,
MBL2,IGHV3-64,
QSOX2,RPS5,
SERPINA12,CBX6,
NELL1,TRIM35,
CACNB2,NOC3L,
IL25,LGALSL,
ADAMTS15,COX7A2L,
SPINT1,RP11-395P17.3,
C2,ABHD12B,
TUB,FOXN2,
A2ML1,ABO,
GALR1,RGS17,
SCG5,ASCC1,
GREM1,RP11-370I10.4,
KLK4,TSEN2,
KLK2,RP4-800G7.2,
KLK5,CALML4,
KLK6,WBSCR22,
ANGPTL4,SERBP1P3,
SFTPC,TRBV10-2,
NPNT,NDUFB2,
IL12A,PLEKHG3,
FSTL5,MEOX1,
CTRB2,RP11-248C1.2,
NTSR2,S100PBP,
COL4A3,AC097713.4,
EFNA1,ADAM19,
UMOD,AC004166.7,
GP2,LCMT2,
ELSPBP1,LINC00426,
MUC15,NUDT12,
GKN1,GIMAP2,
NRG4,RP1-29C18.8,
BTD,HPS5,
MUC3A,SKIV2L,
ITGAM,C6orf3,
SERPINA9,ZNF211,
SERPINA6,PDCD5,
TMED10,KREMEN1,
CST5,MCFD2,
CST2,ACADM,
KISS1,RP11-5K23.3,
PKHD1,HOXB4,
OBP2B,GRAMD1C,
NRTN,EYA3,
RLN3,TRAV26-2,
MUC7,TRIM58,
SOSTDC1,TMEM180,
KSR2,FAM83A,
COL24A1,LRRC8D,
DSCAM,RP11-33B1.2,
COL8A2,ANO7L1,
PRNP,FHL2,
SCG2,AGAP4,
CD8B,RCSD1,
PRL,TMEM161B-AS1,
IL17D,ZNF234,
CCL19,MYO16-AS1,
HPSE2,SUPV3L1,
ADAMTS20,FAM53A,
CST9,CCDC115,
SAA1,RP11-734I18.1,
MST1,RASA4CP,
CD34,UBE2Z,
CHRNA9,AKTIP,
KLK15,ZNF85,
SEZ6L2,MSC,
INHBC,VPS29,
APOF,RP11-645C24.5,
SCUBE2,A2MP1,
PCSK1,EPHA1-AS1,
PRIMA1,ARHGAP15,
CALCB,RAB2A,
CREG2,STMN3,
CLEC14A,NUP210L,
BDNF,KLHDC10,
C8G,NPEPL1,
KCNJ10,NEO1,
CHID1,ZNF195,
ADAMTSL1,AC108488.3,
BOLA1,GTF2H1,
PRSS36,PDCD2,
TAS1R2,RP11-219E7.1,
CALR,DDX31,
GPC5,BATF3,
SYCN,SLC16A3,
NRXN1,JKAMP,
RRH,TMEM241,
GREM2,AGAP3,
ADIPOQ,GRAP,
PENK,C6orf106,
EDDM3A,HIST1H2BK,
TNFSF15,MGAT3,
RNASE10,EVA1C,
EPGN,VPS33B,
NTM,SPIB,
PAPPA,RP11-214O1.2,
GPC6,CCDC57,
OVCH2,TPSB2,
GKN2,DBN1,
BMP8A,LRRC28,
NOG,THEMIS2,
IFNL2,TRBV4-2,
OPCML,PRDM5,
NPW,GINS2,
SLIT3,DNPH1,
EFNA5,TRABD,
COLEC10,ZNF239,
KCND2,MICB,
BPIFC,TIAM1,
GAST,ANKRD36B,
FAM19A3,BLMH,
LRRC26,SPATA2L,
RNLS,WSB2,
TNFAIP2,FAM177B,
GP1BA,TMEM254,
NRG3,GHRLOS,
LAMP1,ZDHHC18,
CLCNKA,ZNF362,
PRG2,RP11-33B1.4,
FGF3,GGCT,
CCK,AC005082.12,
SLIT1,MED22,
LYPD6,NFE2L3,
BCAM,MIR22HG,
COL4A1,NANOS1,
HAPLN4,NUCKS1,
THSD4,TRGC2,
WNT7B,ADAL,
EYS,FNBP1,
AGRN,IQCG,
BSPH1,RPS26,
SERPINA5,RPL36AL,
KRTDAP,RP11-893F2.9,
COL25A1,C12orf75,
RNASE9,NCOR1,
RHCE,PLK1S1,
QRFP,ACADVL,
OSTN,AC074289.1,
FZD9,PCMTD2,
OPTC,TMED4,
PRELP,RP11-274B18.2,
UTS2B,COMMD10,
HIST1H4D,MSRA,
SBSN,FAM216A,
RELN,TTC39C,
HMGB1,IQSEC3,
NCR1,AC004840.9,
SPOCK3,ZFP28,
SERPINA3,ZNF319,
HIST1H4A,LRFN4,
SFTA2,TMEM106C,
ATP2A1,CHMP2B,
COL27A1,SPIRE1,
FLNA,ZNF365,
FAM3C,MLTK,
HIST1H4C,CLNS1A,
IGF2R,SHROOM1,
IFNL3,LPXN,
IL27,TRIM5,
HIST1H3D,TAS2R14,
COL13A1,MTL5,
ENTPD6,BTNL9,
ENPP1,SNORD12B,
CR1L,PPP3R1,
SCGB1D4,IFRD1,
PSAP,ZNF890P,
GRK6,KIAA1551,
HIST1H4F,ZNF418,
HIST1H4I,RAB20,
HIST1H3A,FAM213B,
HIST1H4E,ZNF582-AS1,
LPA,TMEM44-AS1,
SMOC1,MEFV,
CR1,MRI1,
FCGR3A,FANCD2,
COL11A2,RDH5,
NOTCH4,CCNL1,
AGER,GRAMD1A,
NEU1,JMY,
CSHL1,MT1L,
C6orf25,RP13-25N22.1,
APOM,RP11-165J3.6,
C6orf15,C4orf21,
IL31,HSD17B7P2,
PCDHA2,RP11-73M18.9,
CFI,NPHP4,
TMSB4X,MLLT4,
C1QTNF9B,C11orf92,
DEFA1,CERK,
IGLV11-55,CCDC25,
IGHG1,CARD11,
IGHG3,C17orf62,
CSH2,LMBR1,
CEACAM16,PPHLN1,
DNASE1,SNUPN,
CCL27,HAGHL,
COL28A1,ZMAT4,
CELA2B,RBM26-AS1,
TNFRSF25,TRIP4,
RPTN,SPTBN1,
FAM19A5,OR2W3,
C1QTNF5,CCDC152,
APOC4-APOC2,EPB41L3,
APOC2,LYAR,
LILRA4,MACF1,
DEFA1B,RP11-436I9.5,
TNFRSF13B,C12orf52,
AQP1,ZFP30,
EGFL8,NDUFS8,
CNTF,ARHGAP12,
TNFRSF6B,ISCA1,
CFB,PVRIG,
CFHR1,REPS1,
OC90,CRNKL1,
INS,CTC-484P3.1,
GH1,GIMAP8,
MIA,RCN3,
SEMA3F,CTD-2561J22.5,
CD99,MLF1IP,
HS3ST1,CALHM2,
KLHL13,IER5,
PRSS22,UIMC1,
ITGA3,NUDCD3,
LAMP2,LONP2,
CCL18,LRP3,
CCL3,LRPPRC,
CACNG3,C16orf54,
TAC1,LRRC56,
CX3CL1,TMEM99,
CCL26,RP5-827C21.4,
CEACAM7,TCP11L2,
CELSR3,AAR2,
REV3L,CTC-550B14.7,
KAL1,CRELD1,
DCN,FRAT1,
IL20RA,DSC1,
ATP2C1,CTA-211A9.5,
C8B,PPP4R1,
KCNG1,PIAS2,
TNFRSF1B,DOCK10,
MYOC,SETD3,
TUBG2,ATG12,
TLL1,MRPL14,
TRIO,RP11-18I14.7,
GUCA2B,HSDL1,
RRM2B,PRPF31,
COL9A2,GIMAP5,
ELN,ZNF181,
CBLN4,ITGB2-AS1,
CHRDL2,MGAT1,
SERPINB3,AC004824.2,
STYK1,FUT8,
SLC6A16,PLCL2,
CA11,GCH1,
GPC1,ACAD9,
YBX1,CTC-281B15.1,
CACNB1,NLRC3,
TRPC7,PEA15,
GAL,CPD,
ATP1B3,SLC25A13,
SLC44A1,FBXO18,
FGF22,UBXN2A,
FSTL3,TSPAN33,
CNGB1,PTPRE,
TRPM5,RUNDC3A,
SLC6A15,MAGEF1,
SPP2,RP11-147L13.8,
SPEG,MTG1,
HMMR,C8orf59,
CYP2W1,AP001053.11,
CLCN4,AP3M1,
NOTCH3,AC006026.13,
SLC24A1,NPIP,
C19orf10,FAM69A,
TUBE1,CUL5,
WNT8B,DEXI,
CACNG5,GNG8,
CACNG4,CTC-550B14.6,
TUBA3D,KIAA0319,
KLHL20,RP11-166N6.2,
GPC4,RAB31,
ACTN2,HPS1,
FKBP6,LINC00265,
TULP3,CENPC1,
EDN1,INO80E,
FGF20,CNN2,
P2RY10,SUPT20H,
PKD2L2,CTD-2324F15.2,
BPIFB2,POLR3E,
CLUL1,ACAD8,
FKBP7,RP5-997D24.5,
CEACAM1,DKFZP761J1410,
DCT,SNX7,
MOK,CBLB,
IMPG2,PET112,
COL19A1,SUSD3,
TRPM3,GOLIM4,
P2RX5,HIST1H2BG,
EPYC,ZNF561,
FAT1,UBA52,
COL16A1,UBE3C,
MAST2,ZNF550,
TMPRSS11E,ZNF138,
SLC6A14,L1TD1,
ATRN,CTPS1,
SIGLEC1,TCTEX1D1,
HEPH,TSKS,
KCNH4,ZNF318,
LAG3,BNIP1,
DNAJB11,SOWAHC,
GNPTG,CTA-126B4.7,
MCOLN1,SCFD1,
EFNB1,SCAP,
GABRP,PDSS1,
KCNK16,AP3M2,
CRISP3,C11orf63,
BRPF3,TMEM156,
PGC,TANK,
AMELY,KRT77,
HCN2,RAB3IP,
KLHL22,GATC,
SERPIND1,APOBEC3C,
MMP11,RAPGEFL1,
P2RX6,MROH6,
OSM,NPPA-AS1,
GGT5,SKAP1,
PPIL2,ANKRD9,
ADRBK2,SLC10A7,
PLA2G3,GLTSCR2,
GGTLC2,TTC27,
TIMP3,MOB3C,
CHADL,KIAA0355,
FKBP3,HLA-U,
PSMA3,MAP7,
CHGA,ARHGAP9,
PSMA6,HBG2,
BMP7,HPCAL1,
PSMA7,HIST1H2AE,
AVP,NMI,
RSPO4,CTD-2336O2.1,
PROKR2,MED10,
OXT,ST6GALNAC3,
ASIP,CDC26,
CST4,RP1-167A14.2,
GUCY2F,BIN3,
KCND1,DLL1,
OPN1LW,RNF144B,
RS1,RP11-807H22.6,
PCSK1N,OGFRL1,
TIMP1,PLSCR3,
KLHL4,ANKRA2,
GABRE,ECD,
ITIH6,SMARCD2,
SRPX2,DHRS11,
CBLN1,PARK7,
CCL22,RP11-958N24.2,
CCL17,CTD-2201E18.3,
PRSS54,RP11-274B21.2,
ZP2,C12orf43,
PRSS33,RHOT1,
PDGFRL,BSPRY,
DKK4,CLYBL,
TULP2,CCT3,
CGB2,MRPL35,
LHB,LRRC1,
CGB,ITGB3BP,
KCNA7,LCA5L,
CLEC4M,LRRC37A15P,
IL4I1,MARC1,
GPI,ABCD3,
EBI3,GNMT,
APLP1,CIRH1A,
SIGLEC8,RP11-473M20.9,
CD79A,RP11-467L13.5,
CACNG7,MPZL1,
COMP,KIAA0753,
FKBP8,FN3K,
ITGB8,FZD2,
PTN,FAM69B,
NPVF,PCED1B,
STX1A,NEDD4,
CRHR2,SEPW1,
CCL24,RP11-465N4.4,
NPTX2,SURF1,
PTPRZ1,ANKH,
SPAM1,C17orf67,
AGR2,CTC-490G23.2,
CNTNAP3,RALGDS,
OGN,APBB1IP,
ASPN,TRAF3IP3,
ECM2,SCCPDH,
AMBP,PRSS57,
RLN2,TCFL5,
RLN1,FAM104A,
RBP3,TAPT1-AS1,
GDF10,INPP5K,
KAZALD1,TMBIM4,
FGF8,C6orf164,
SMC3,EID1,
LGI1,SETD8,
TUBD1,FAM157C,
LGALS3BP,CFLAR,
CCL8,AC007952.5,
CCL1,MAPKAPK5-AS1,
NAGLU,NIPSNAP1,
CACNG1,TRBV24-1,
FAM20A,CERS4,
ODAM,ETFDH,
SMR3A,BNIPL,
KLHL2,MYO5C,
CLCN3,RP11-254F7.2,
CPZ,RP11-4O1.2,
GLRB,RAB11FIP5,
TECTA,TOR1A,
HPX,DHX36,
PVRL1,CCNT2,
FGF6,TATDN2,
KCNA1,FAM107B,
ART4,SHC1,
ENDOU,AUTS2,
ACRBP,RIMS3,
COL12A1,RTP4,
RHAG,CXCR2P1,
BMP5,FGFR1OP,
GPR63,RP11-76E17.4,
COL9A1,C7orf53,
NR2E1,BIRC7,
PTK7,TESC,
IMPG1,C9orf89,
WISP3,SLC17A3,
ENPP5,MANBAL,
MEP1A,ARV1,
ERBB2IP,AC074011.2,
C7,NCF1,
LOX,UBE2I,
SPARC,RFXANK,
THBS4,RAB7L1,
SERPINI2,RPRM,
COL7A1,MAN1A1,
CSPG5,EBLN2,
KLHL18,TXNL1,
SLC4A3,SCML4,
ADAM23,UNC45B,
LOXL3,FHOD1,
REG1A,MCM5,
KCNJ13,RNF219,
IL1RL2,TRBJ2-2P,
PCYOX1,TYSND1,
CD207,C1orf86,
ANGPTL1,RP11-195F19.9,
KCNC4,RP11-75L1.1,
OLFML3,RP11-672A2.4,
BMP8B,BECN1,
ARTN,POLA2,
FASLG,POU5F1,
MUC5B,C20orf197,
GHRH,TSTD1,
OLFM3,SLC37A3,
FGF23,CCDC134,
NR4A3,RPS8,
GPR75,CYP2D7P1,
KLHL29,SLC39A11,
TECTB,L3MBTL2,
PRLHR,NVL,
SFRP5,PUS3,
PCDHB10,GIMAP1,
GPR31,RP11-347C12.2,
LYZL1,RBM11,
MRC1,ANXA4,
NR2C1,ADPRH,
EPX,AFF3,
TEX14,OSTM1,
A1BG,ATOX1,
CCRL2,NIP7,
CPXM2,AC018755.16,
PAEP,RP11-77C3.3,
OBP2A,TRIM69,
FMOD,NACC2,
OPN4,ZNF396,
NPY,KIAA1468,
CNTFR,CREBRF,
SFTPA1,RP11-54C4.1,
P4HA1,TRBV29-1,
PRDX4,MYCBPAP,
CD97,RP11-44F21.5,
MMP19,AHCTF1,
IL13RA2,ZNF30,
COL10A1,APOBEC3B,
PLP1,NUDT13,
NRK,LRIG1,
ACVR1C,BTBD10,
INHA,NEB,
SLPI,ZFP14,
KCNS1,DNAJB12,
SEMG2,RP11-195E2.4,
KCNK15,RP11-757G1.6,
VAMP7,TTLL5,
IL9R,LGALS12,
IL17C,RASSF4,
CEACAM8,MICD,
NDP,ATF7IP2,
CRISP2,AF131215.2,
COL21A1,NCALD,
CRISP1,PEBP1,
OPN5,RP11-259G18.1,
CXCL6,LRIF1,
SCGB1D2,RNF34,
SCGB2A1,CCNB1IP1,
WNT1,EEF1DP3,
GPR18,PLXDC1,
AMELX,RP4-717I23.3,
NPBWR2,MADD,
PSPN,CASP5,
GNRH2,SLC22A23,
CST8,TOMM5,
GFRA4,RPL10A,
OTOR,HOXB3,
BPIFB1,RP3-412A9.11,
GRPR,TRADD,
AMOT,LARS2,
SLURP1,ZNF786,
GPR42,TAS2R20,
KIRREL2,FBXW8,
FLRT1,FGD5-AS1,
CSN1S1,COA1,
STATH,CTD-2583A14.8,
HTN1,TSEN34,
WNK4,FAM19A2,
CFP,C20orf196,
OMG,HADHA,
OMD,RP11-960L18.1,
EDN2,WDR63,
MASP1,TOB1,
F2RL3,PPM1L,
TUBA4A,FAM171A1,
FGL2,RP11-326C3.7,
CPA4,IFT27,
TAS2R16,PCP2,
LRRC4,AMACR,
LRRC17,KANSL2,
OPN1SW,RP11-247A12.7,
GDF2,AP003068.18,
TTBK2,RP11-356N1.2,
ACKR4,NCLN,
PSMA1,C2CD5,
KCNC1,RP11-118B22.2,
MMP28,SIRT5,
KLK14,PGM2,
KLK10,DDX11L10,
KLK8,HLA-V,
RIPK3,AF131215.9,
ART1,COMTD1,
CHRNA10,COQ6,
PRKCSH,TMEM121,
DPP6,ATPAF2,
GDF1,ARPP19,
BST2,NOP56,
MAS1,BAIAP2-AS1,
BMP15,OR13A1,
ACTN4,MIS12,
CACNG6,MRPL19,
HRC,ZNF721,
SMPDL3B,TRAT1,
PNCK,MGC10955,
PPIL4,SURF6,
BPIFA2,SKP2,
DEFB118,SLC39A9,
C1QL1,CTB-41I6.1,
CCL25,CTA-331P3.1,
KCNC3,TMEM45A,
LRRC4B,MRPS6,
TUBG1,SFT2D1,
RAMP2,FDX1,
IL13RA1,EXOSC9,
FSHB,C12orf23,
NR0B2,NEIL2,
PODNL1,CTD-2203K17.1,
FCRLA,TCTN3,
CNGA4,SLC35D3,
ENAM,SLC38A10,
IGJ,SPG20,
ITGB4,SNX32,
H3F3B,MRPS21,
GUCY2D,CTD-2192J16.21,
SDF2,RP11-1149M10.2,
BCAN,TPRA1,
HAPLN2,CYB5R1,
APCS,TRAV14DV4,
NMUR2,C8orf33,
GPR12,RP11-278A23.2,
POSTN,FAM110A,
PDE6B,RWDD3,
GGT2,ARID5B,
NTS,EAF2,
SPINK5,PHLPP2,
TMEM66,PARS2,
IRAK2,MX2,
REG4,METTL9,
TSHB,SLC26A8,
WNT2B,RP11-421F16.3,
ERN2,C7orf73,
GRP,SLC46A3,
PRH2,RP5-874C20.3,
C5AR2,AKD1,
CSN2,APOLD1,
HILPDA,CTD-3018O17.3,
CGA,EMR4P,
AMHR2,AC016757.3,
GDF11,SCAMP2,
KCNH3,CEP128,
TAAR5,TRMT10B,
AGT,IFFO1,
GPR45,ANKRD50,
ALDH1L2,WDR4,
SCYL2,LRRC33,
PLXNC1,MIER1,
SLC41A2,HES4,
LECT1,NPC2,
THSD1,SRGAP2C,
CFC1,SNX30,
UGGT1,EEF1A2,
OR1J1,DENND3,
ANGPTL2,RNF175,
PSMB7,CLEC5A,
DERL1,TRIM68,
TLN1,FOXK1,
IFNA21,ATP5G1,
CD72,NLE1,
BPHL,KLRAP1,
CLPS,LINC00174,
FGFBP1,ZNHIT6,
TLR2,PIGV,
IL18BP,FANCA,
PI15,CKS2,
FXYD2,RP11-1055B8.4,
CGREF1,CTC-444N24.8,
EMILIN1,SPDL1,
GPR87,POU6F1,
PLA2G12B,MCC,
CILP,RP11-421L21.3,
LRIG3,ARHGEF35,
LGR5,FAM132B,
SLC39A5,ZNF212,
LPAR6,THAP9-AS1,
TSSK4,HOXB-AS1,
KCNH5,ZNF500,
MFAP1,NLRP12,
EFTUD1,HDHD2,
OR4D1,ASPH,
SPACA3,FAM154B,
ARSG,SCAND1,
SLC39A6,RP11-973H7.4,
MEP1B,RAVER2,
SECTM1,PNMAL2,
MAPK4,ALPK1,
FKBP10,AC005488.1,
SAMD1,TNS1,
TRPM2,HIF1AN,
LMTK3,PQLC3,
CACNG8,SEL1L3,
FBN3,BBS4,
PSMB6,ANKRD27,
GPR32,U7,
PTH2,ANXA11,
FCN3,SPON1,
CYR61,SDSL,
TINAGL1,ANXA3,
KCNA10,FAM13A,
PSMA5,OR52K2,
ITGA10,ZNF282,
GPR161,FNBP1P1,
HMCN1,PDHB,
TUFT1,PNRC1,
KCNH1,FAM50B,
HCN3,AP000350.6,
LEFTY2,MAML3,
WNT9A,AEN,
REG3G,TAP2,
C1QL2,PHPT1,
FBLN7,ESPN,
CNGA3,RP1-151B14.9,
HSPD1,ZNF271,
ABCA12,DGCR14,
ACKR2,NDRG1,
ALDH1L1,PTCH1,
UCN2,RP11-7F17.5,
MANF,TBCK,
MUC4,CTC-457L16.2,
AHSG,METTL17,
KLHL8,CTB-50L17.9,
ADAMTS16,UGGT2,
GZMA,DCTD,
CRHBP,CBWD1,
CXCL14,PATL2,
SCUBE3,C4orf3,
TTBK1,HSPA4,
GPR6,CTD-2619J13.17,
TAAR2,NLRC5,
TAAR6,PRDM4,
TAAR8,AC079325.5,
VIP,RNF10,
SLC12A9,RP11-256L6.3,
NLGN4X,MRPS25,
GPR174,TMEM194A,
LPAR4,SFI1,
IL2RG,RP11-295P9.3,
RBMX,COX11,
OPN1MW,GTPBP4,
NSDHL,RP11-115L11.1,
GABRQ,TTC16,
GNRH1,SPTBN5,
PXDNL,ZNF516,
CRH,HIVEP3,
PSKH2,NSUN6,
RSPO2,ZNF587B,
CER1,NDUFA2,
IFNA16,AC125238.4,
NR6A1,RP11-384K6.6,
LCN2,CLDN5,
RGR,CTD-2587H19.1,
HABP2,RALGAPA1,
LRRC4C,MTMR10,
PAMR1,KCNMB1,
HYOU1,RP11-56F10.3,
GGTLC1,RP11-686D22.3,
ZP1,ZNF717,
SCN2B,MRPL48,
TMEM25,FAM22B,
SOGA1,SPI1,
SPINT4,LBH,
GPHA2,TMEM258,
ALDOA,MRPL36,
KLHL1,GS1-124K5.12,
VEGFC,SLA,
CNDP1,RP11-641A6.2,
CACNA2D4,ZNF425,
KCNA6,MVB12A,
PLBD2,FADD,
CCL28,C4orf33,
DST,CKAP4,
TUBA3E,DCHS1,
CYSLTR2,INTS10,
GRID2,RP11-76E17.3,
PTH,ALG1L,
SPOCK1,CTB-27N1.1,
TMEM123,TIGIT,
SPARCL1,DPY19L2,
DSPP,ADD3,
DMP1,ZNF197,
CATSPER3,BIVM,
C16orf89,CPEB2,
SEMA3D,SWAP70,
THY1,PLEKHA5,
GPR15,RP11-382A18.1,
ABI3BP,NDST2,
WNT3A,RP11-95D17.1,
OBSCN,RP11-77P16.4,
GPR26,NPIPP1,
MMP21,AC007395.4,
PSMA8,ENDOD1,
CXADR,SEC16A,
CA10,PRPF6,
CYP2U1,RNF138,
GPR78,ISCU,
VSIG4,CRLF3,
OTOA,PHLPP1,
GPR61,VPS11,
CXCL13,RP5-995J12.2,
TSPAN7,DUSP16,
CDK20,CTD-2260A17.1,
GDF6,AL512428.1,
KCNS2,PIGZ,
CD109,RFT1,
NODAL,TMCC3,
NPTN,SFXN2,
BUB1B,NAV1,
PDE6D,ZSCAN18,
KLHL40,SNRPC,
C8A,PPP4R4,
TIMP4,TRAPPC2P1,
IL34,OSBPL3,
CACNA2D3,TMEM184B,
SVOPL,ACTR1B,
GPR153,PCDH8,
KCNB1,HCG4P3,
NRG2,SUMF2,
CD1D,ATP5A1,
CD1C,DDX56,
CPA2,LAPTM5,
F11R,OR2A20P,
APOA2,CLEC2D,
C1QC,RNASEH2C,
PSMB4,TRIM38,
CES5A,TAS2R5,
PGLYRP3,DHX58,
SPON2,CNPY4,
AGRP,EMB,
PIP,RP11-443B7.1,
LYPD5,PGM1,
NPR2,SAT2,
FNDC5,RAB40C,
FCN2,RP11-218E20.6,
TOR2A,GTF2E2,
NEK8,ZNF320,
CD3G,BTN2A2,
AZGP1,NOL6,
PGLYRP2,RP11-738E22.3,
LYZL6,COMMD5,
CCL16,RP11-214C8.5,
CCL15-CCL14,RP11-795F19.1,
KLHL10,LEPROTL1,
HCRT,ATP10A,
EMC10,WFDC3,
OR7G1,TMEM205,
NTN3,CTNS,
FGF19,SH3BP5-AS1,
CYP4A22,CEP152,
KLHL21,ENTPD4,
MATN1,TMEM223,
TSSK3,VAT1,
BPNT1,SNRPB2,
PIGR,CEP57,
FCAMR,RP1-34L19.1,
KCNF1,SLC20A2,
KCNJ3,AC113189.5,
BOLA3,RNF112,
PGLYRP4,DNAJA4,
ALPP,MYOF,
KBTBD8,CTB-83J4.2,
FAM19A4,AC021860.1,
NEK10,HAUS8,
RETNLB,TRAF3IP2,
FCRL4,RP11-390P2.4,
SERPINI1,TFPT,
PTX3,TRANK1,
IL17RE,LINC00639,
PRRT3,RP11-561P12.5,
PLSCR2,NRD1,
RYK,C18orf8,
UCN,AC008592.3,
CDCP1,AC109309.4,
SLC6A20,METTL2B,
LIPH,C11orf80,
RHO,ZNF77,
MFI2,SLC27A3,
OTOP1,ERCC8,
AIMP1,AK3,
CAMP,ATXN1,
CAMKV,RP11-266L9.4,
ETNPPL,MLST8,
PRSS12,NCAPG2,
HMGB2,SLC16A6,
SCRG1,IKBIP,
AGGF1,GUF1,
ENPP6,C2orf42,
CARTPT,UCKL1,
TLR3,VPS13C,
SLC6A18,RAB6B,
GDF9,DHX35,
LEAP2,RFFL,
IL31RA,BOK,
GPR85,RAB14,
BMPER,UBAP2L,
KCNK5,METTL7A,
HNF4G,MAVS,
