List 1,List 2,List 1|List 2
CLCN2,RCVRN,MAP3K11
IL1A,LSG1,SLCO4C1
ACVR1,OSCAR,HRAS
ITGB6,MRE11A,SLC22A1
TACR1,ATHL1,NPPA
FN1,HSPBAP1,P2RY2
CHST10,ANAPC13,TUBB6
IL1R1,PKIA,SLCO3A1
ABCB6,GPR180,CDK5R1
STK16,CECR6,IL17RA
STK25,EXOC3,P4HTM
TPO,ITSN1,ERN1
ODC1,AC004791.2,GPR35
SDC1,ADARB2,GPBAR1
AAK1,CLECL1,CHST13
GRIN3B,DDX11L2,CXCR2
MARK1,UBA7,NQO1
OPRD1,PLGRKT,F2R
HDAC1,C10orf32,CSF1R
PLA2G4A,WLS,EPHB3
TNNI3K,SEMA4A,ABAT
CD2,MFSD6,CAMK1D
KCNQ4,KLHDC4,TBK1
AKT3,TFAM,CCR4
PLA2G2D,ACSL5,PRKD1
APH1A,SYCP2L,GSTT1
MPL,FAM26F,CA13
AKR1A1,MS4A14,CYP4F12
FMO6P,EXOSC6,BACE1
F3,CYBRD1,CYP4F3
HSD11B1,SRXN1,BCR
NEK2,TBKBP1,TNFRSF4
CHRNB4,SARS2,TNFRSF18
CTSD,BEGAIN,RHD
KMT2A,SNX29,EPOR
MMP8,IRF5,DHRS4L2
TTR,ANKRD34B,SELL
CA14,EML3,DPYD
CCND2,BTBD11,LRRK2
CYP20A1,LRRC16A,H1F0
CSF3R,RP11-422J8.1,SF3B3
PGF,RP11-792D21.2,HLA-DRB1
ALDH6A1,LPIN1,AKR1C3
ESRRB,NDST1,RYR1
DNMT3A,MPHOSPH6,PPIA
FKBP1B,SLC18B1,IARS
EPCAM,RP11-459O1.2,CD55
CRHR1,RP11-1149O23.3,EPHB4
CD274,SLC25A29,SULT1A1
IFNA6,ARHGEF19,DAPK1
IFNA8,ERP27,ADA
GRIA2,SLFN5,SULT1A2
TNFSF11,RP11-22B23.1,SLC22A4
CHRNA2,CPSF1,BLM
ADRA1A,GALNT4,SLC22A5
TNFRSF8,U2AF1L4,MAP3K5
ABCC11,ADCK1,GSTK1
IAPP,CMAHP,SLC28A3
KCNJ8,RP11-231E4.4,PDCD1LG2
CD80,KIAA1683,CFD
HCRTR1,FCHO2,UGT2B17
GHSR,CEACAM21,ADH5
PIK3CA,AC007278.3,LPAR1
CXCR4,AC068282.3,HSD17B11
FLT3,CCDC101,PIM3
PLG,HERC2,TXNRD1
PTGFR,COPS3,HLA-DRB5
INHBA,AC016683.6,F5
CHST3,LDHC,MTOR
CIT,HLA-DQB1,PNP
PKN1,CTC-510F12.4,CES1
CDK2,CDK5RAP2,DDO
AMD1,IGFLR1,PSMB8
SERPINA7,SLC36A1,DDR1
RAB9A,RP11-476D10.1,GABBR1
MC3R,TYW1B,HLA-A
CHST8,TRGV5P,GPX3
ABCC10,GDPD5,TRGV3
HIST1H1A,AP003068.23,TRBV7-1
EREG,BAZ2B,GSTM2
SLC10A2,GCAT,S1PR3
KIR2DL1,SPRYD4,UGT2B11
SRMS,DOPEY1,DHFR
IL1B,SPNS1,TNF
GRIA3,LDLRAP1,TNFSF12
CD70,CTD-2116N20.1,MGAM
STK35,GLB1L,FNTB
S1PR4,SYNGR1,MC1R
PSMB2,MSH3,EGLN2
F10,SAMM50,MMP25
FFAR1,ADAM15,DYRK4
PRKCG,OLFM1,PIK3C2A
AVPR2,RP11-644F5.10,PPP5C
IL22,CTC-497E21.4,BRCA1
DYRK2,C1orf87,CAPN1
GFER,NLRP2,ACPP
KDR,CEACAMP3,NR1H3
PPAT,MYOM1,TYMP
ADORA2A,METTL21A,SLC18A1
SMO,DUS2L,UTS2
PDE11A,ODF2L,EIF2AK2
DLL4,LAX1,SOAT1
ALDH1A2,HLA-DQA1,BCAT1
SHBG,AC091814.2,ABCA7
CCNT1,ATP9A,GBA2
SLC27A1,CCS,TESK2
STK33,ZYX,CDC42
SULT4A1,ZNF514,SCARB1
CYP2E1,HIGD2A,ACACB
MAP3K10,STAG3L4,PIK3C3
LATS1,HOTAIRM1,SLC1A3
ABCB7,TMEM230,PPIE
AOC3,MYBPC3,EIF2AK1
TOP2A,DCXR,MAPKAPK5
RARA,PTER,P2RX7
FMO5,RP11-218M22.1,TGM1
RAF1,JAKMIP2,MAP3K1
PRKAA1,CARD9,CDC7
DDC,ANKRD55,MTAP
SNAP25,WARS2,XBP1
SSTR4,CRIPAK,TSPO
ALDH3B2,WDR25,EP300
CDK8,UROS,CTSG
CHRM3,RAB23,GZMB
DCLK1,OLIG1,CDKL1
GSTT2B,ZNF559,PYGL
CA1,PPIP5K2,NFKBIA
CCNB1,YIPF5,CTSZ
CDK7,CLEC4D,CDC25B
NGF,LDOC1L,PARP4
ROCK2,TAF1C,CTSH
IL6ST,MGME1,LIG1
IL2RA,OSGEP,SIGLEC5
HRH4,CUBN,LIMK1
SLCO1B1,CPVL,PKD2L1
MTNR1B,RBMS2,LIPA
CYP2J2,KIAA0391,MAP3K8
DAGLA,PDXK,GALK1
PDGFRA,AP003774.1,DUSP3
CTSL,FAM174A,MANBA
TAOK3,RP11-661A12.5,CTSC
UGT2B28,ARPC5,CPT1A
SRPK2,TRBV28,GAPDH
HTR1B,TMEM144,PRKAB1
EPHA7,MT2A,PTP4A1
MAP3K7,CNDP2,CCR6
CDK4,PLCB1,SENP6
ACVR1B,PDZD8,LNPEP
TEC,ISCA2,KAT2B
CHST5,LEPROT,UMPS
CHRND,RP11-660L16.2,NEK11
HTR2B,KDELC2,MAPKAPK3
EDNRB,IMMT,ACVR2B
CHST12,PICK1,VIPR1
IL6,ACPL2,NKTR
SCN2A,MT1F,IGFBP2
SCN7A,SAMD9L,PASK
IL10,ATP6V1E2,KYNU
CDK9,CDC14A,KISS1R
PRPF4,AKIP1,EPAS1
GABBR2,ECHDC2,SCP2
CTSV,NDUFS5,ICMT
ALDH1B1,CCDC24,KMO
PIM1,LRRC37A4P,ECE1
SLC22A7,RRP7A,SGK1
HCRTR2,AC069513.3,PKD2
TUBB2B,CAPN12,TRPM6
SLCO2B1,WBSCR27,NEK6
SLCO5A1,PAX8,APAF1
SULF1,TBCD,TNFSF10
MMP7,CRIPT,ACVR2A
MMP13,BARD1,PLAU
