id	logFC	AveExpr	t	P.Value	adj.P.Val	B
ACSF2	-1.95301111628556	7.96596245410628	-22.2646123649065	7.45228452947562e-73	5.76700361373849e-70	155.319704402497
SLC36A1	-1.15094505235639	7.53712769323672	-22.2305806527491	1.05352284129005e-72	7.78218167900205e-70	154.975302877348
DAPP1	1.54193475745957	7.09226092995169	22.1722875665549	1.90649297125709e-72	1.34706162069126e-69	154.385262742542
TRHDE	-1.79065600843557	5.41969614975845	-22.1645746820758	2.06215906356137e-72	1.39633945591399e-69	154.30718271555
BMP3	-2.13306088922197	6.1474098236715	-22.0913412160805	4.34537627331915e-72	2.82466839270838e-69	153.5656964824
CYP2B6	-2.49497797831846	6.88648408454106	-22.0451814709041	6.9519807311304e-72	4.34525534083078e-69	153.098221210676
CD55	1.77704588496932	10.8056635748792	22.0127237001535	9.67457179283743e-72	5.82301726686671e-69	152.769460970158
ASPHD2	1.12230171158673	8.00197863285024	22.0027863468934	1.07047519649967e-71	6.21296157797002e-69	152.668798853054
PHLPP2	-1.76466337395426	8.14934042753623	-21.9113002289175	2.71781226291122e-71	1.52300576153691e-68	151.741901285546
RHOU	-1.34460524993028	8.65353000483092	-21.8382772632207	5.71863823930918e-71	3.09226959691094e-68	151.001846738868
ETFDH	-1.24415334739263	8.40252824396135	-21.8352339132639	5.898735924204e-71	3.09226959691094e-68	150.970999703838
NAALADL1	-1.8321182786531	7.05329234299517	-21.8097203021781	7.64993773121418e-71	3.8849730646863e-68	150.7123842024
PDE6A	-1.848721375	5.60655542995169	-21.8036411409025	8.13879071156133e-71	4.00798448041161e-68	150.650760262158
SLC23A3	-1.53164208832962	6.70061208454106	-21.7375159722779	1.59667435925974e-70	7.6316338271559e-68	149.980374846174
PARP8	1.27474287953151	8.26235822222222	21.6802732016291	2.86160983838228e-70	1.32868632810144e-67	149.399924715657
PITPNC1	1.24802203736754	8.36376403623188	21.6653525353611	3.3317037750564e-70	1.50398661245671e-67	149.248609832947
INPP5J	-1.31428034258226	7.25654629951691	-21.6392759830062	4.34628468123808e-70	1.90895871229189e-67	148.984143162511
TAT	-0.745625954406023	5.07559092753623	-21.5945211439857	6.85941664553313e-70	2.93348368175155e-67	148.530194084059
C2	1.54918285025097	7.98497799033816	21.579395207329	8.00329430913911e-70	3.33491117481589e-67	148.376757874945
LCN2	2.67958727140268	11.5419542222222	21.5550434373749	1.0259136768915e-69	4.16803079079095e-67	148.129721462298
IFITM3	1.0723243220859	10.0816886497585	21.5003413743069	1.79219761538873e-69	7.10365937748348e-67	147.574734444888
