ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0050867	positive regulation of cell activation	49/632	392/18805	0.125	3.71934335443038	10.1464740907635	1.91239741141403e-15	3.72280029421932e-13	2.69245425028028e-13	CD55/ANXA1/VNN1/HLA-DMA/SELP/LYN/PCK1/IL1B/IL33/THY1/VCAM1/HLA-DRA/FYN/GPR183/CD38/CCL2/PLEK/ICOS/LILRB2/FCGR3A/LILRB1/HAVCR1/PTPRC/IL1A/SLAMF1/IL7R/CD86/RHOH/CD27/IL2RA/CAV1/CR1/CD274/HLA-DOB/LRRK2/BCL6/BTK/CCL3/IFNG/CORO1A/HHLA2/IL6/CCR7/WNT5A/FCRL3/CCL19/HLA-DRB5/STAP1/CCL21	49
BP	GO:0045785	positive regulation of cell adhesion	56/632	499/18805	0.112224448897796	3.33921006570102	9.87627365434065	2.10663000495445e-15	3.93687015325888e-13	2.84727676459107e-13	CD55/GCNT2/CD44/ANXA1/VNN1/HLA-DMA/ANK3/TGM2/SELP/LYN/PCK1/IL1B/ITGA5/THY1/PDPN/SAA1/VCAM1/HLA-DRA/FYN/LAMC1/CHST2/CCL2/ICOS/ITGB2/LILRB2/OLFM4/LILRB1/PTPRC/IL1A/SLAMF1/KDR/IL7R/CD86/RHOH/PLAUR/CD27/IL2RA/CAV1/CR1/CD274/HLA-DOB/BCL6/IFNG/CORO1A/SELE/ST3GAL4/HHLA2/FN1/CXCL13/EGFL6/IL6/CCR7/WNT5A/CCL19/HLA-DRB5/CCL21	56
BP	GO:0002697	regulation of immune effector process	50/632	414/18805	0.120772946859903	3.59356845838684	9.95097330881707	3.93238361365081e-15	7.0661908626833e-13	5.11050663960287e-13	CD55/IRAK3/ANXA1/ZC3H12A/C4BPB/LYN/PCK1/IL1B/IL33/SLC7A5/RAC2/HLA-DRA/NOS2/SERPING1/ICAM1/SERPINB9/S100A9/C3/ITGB2/C4BPA/FGR/LILRB1/CXCL6/PTPRC/SLAMF1/IL7R/CD86/TWIST1/LAPTM5/SLAMF6/CR1/IL13RA2/CD274/BCL6/BTK/IRF4/IFNG/CFH/FCGR1A/FCGR2B/FFAR2/IL6/WNT5A/FCRL3/CCL19/SERPINB4/CD22/STAP1/CR2/CD177	50
BP	GO:0002696	positive regulation of leukocyte activation	47/632	372/18805	0.126344086021505	3.75933629372533	10.024170358549	4.86642492107193e-15	8.42071749305483e-13	6.09014580765727e-13	CD55/ANXA1/VNN1/HLA-DMA/LYN/PCK1/IL1B/IL33/THY1/VCAM1/HLA-DRA/FYN/GPR183/CD38/CCL2/ICOS/LILRB2/FCGR3A/LILRB1/HAVCR1/PTPRC/IL1A/SLAMF1/IL7R/CD86/RHOH/CD27/IL2RA/CAV1/CR1/CD274/HLA-DOB/LRRK2/BCL6/BTK/CCL3/IFNG/CORO1A/HHLA2/IL6/CCR7/WNT5A/FCRL3/CCL19/HLA-DRB5/STAP1/CCL21	47
BP	GO:0002274	myeloid leukocyte activation	38/632	251/18805	0.151394422310757	4.50470270815472	10.4241251280914	6.43822572539914e-15	1.07426394960946e-12	7.76943781147791e-13	ANXA1/ZC3H12A/LYN/UBD/IL33/RAC2/SYT11/MT1G/PLA2G2A/DYSF/CD93/ITGB2/FGR/FCGR3A/LCP2/HAVCR1/CXCL6/PTPRC/CST7/SLAMF1/RHOH/CXCR2/PTGDS/IL13RA2/PTGDR/LRRK2/BTK/IRF4/CCL3/IFNG/S100A12/FCGR2B/FN1/FCER1G/IL6/WNT5A/STAP1/CD177	38
BP	GO:1903037	regulation of leukocyte cell-cell adhesion	48/632	395/18805	0.121518987341772	3.61576670405384	9.79808060785064	1.12579870818796e-14	1.81370053953592e-12	1.31172916634605e-12	CD55/CD44/ANXA1/VNN1/HLA-DMA/IDO1/ZC3H12A/SELP/LYN/PCK1/IL1B/THY1/VCAM1/HLA-DRA/CTLA4/FYN/LAX1/PLA2G2A/CHST2/CCL2/ICOS/ITGB2/LILRB2/LILRB1/PTPRC/IL1A/SLAMF1/IL7R/CD86/RHOH/CD27/IL2RA/CAV1/LAPTM5/CR1/CD274/HLA-DOB/BCL6/IFNG/CORO1A/SELE/ST3GAL4/HHLA2/IL6/CCR7/CCL19/HLA-DRB5/CCL21	48
BP	GO:0002685	regulation of leukocyte migration	36/632	236/18805	0.152542372881356	4.5388596867625	10.2022376092469	2.65638335011639e-14	4.13687433724792e-12	2.99192651013109e-12	ANXA1/SELP/MSN/LYN/IL33/THY1/RAC2/PADI2/ICAM1/CHST2/CCL2/EDN3/CXCL10/IL1A/SLAMF1/CXCL17/CXCR2/CCR6/CCL4/GREM1/CCL20/CCL3/SERPINE1/CORO1A/SELE/ST3GAL4/FPR2/TNFAIP6/CXCL13/S100A7/IL6/CCR7/WNT5A/CCL19/STAP1/CCL21	36
BP	GO:0002526	acute inflammatory response	25/632	111/18805	0.225225225225225	6.70151955753222	11.2349549601563	2.82653849386333e-14	4.25986704623532e-12	3.08087896954203e-12	VNN1/UGT1A1/IL1RN/OSMR/IL1B/SAA2/SERPINA1/SAA1/SERPINA3/C2CD4A/CREB3L3/C3/FCGR3A/IL1A/CXCR2/REG3A/PTGS2/BTK/FCGR1A/FCGR2B/FFAR2/FN1/IL6/FCGR2A/CCR7	25
BP	GO:0071674	mononuclear cell migration	35/632	230/18805	0.152173913043478	4.52789625756742	10.0388891682932	6.5811770089187e-14	9.6085184330213e-12	6.94920335481218e-12	PECAM1/ANXA1/MSN/LYN/PADI2/SAA1/ICAM1/GPR183/CXCL11/CH25H/CCL2/CXCL10/SLAMF1/CXCL17/CXCR2/CCR6/CXCR4/CCL4/GREM1/MCOLN2/CCL20/CCL3/SERPINE1/CORO1A/S100A12/CXCR1/FPR2/CXCL13/S100A7/IL6/CCR7/WNT5A/CCL19/STAP1/CCL21	35
BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway	45/632	372/18805	0.120967741935484	3.59936453654553	9.44302185911699	9.27803979200446e-14	1.2976258822681e-11	9.38486635292134e-12	TNIP3/ZC3H12A/LYN/THY1/PDE4B/IGKC/NOS2/CTLA4/FYN/LAX1/C3/CD38/LILRB2/FPR1/FGR/FCGR3A/LILRB1/LCP2/GBP1/PTPRC/CD79A/KLHL6/MNDA/LY96/LAPTM5/CR1/BTK/CLEC4E/IFNG/FCGR1A/FCGR2B/HHLA2/FPR2/FFAR2/FCER1G/BANK1/BTNL3/FCGR2A/CCR7/LTF/FCRL3/MS4A1/CD22/STAP1/CR2	45
