id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
GSM2869345_treat	0	0	0.370287239702991	0.180067321864193	0	0.0625094389592028	0.00275592958593445	0	0	0	0.00614817870602191	0.0121209034053543	0	0.062759997376587	0.0785647179843581	0.0827509888138207	0	0.00310398726451813	0.116229763711638	0	0.022701532625381	0
GSM2869346_treat	0	0.0206202105399486	0.336982970712124	0.0790217853054583	0	0.0776582110494476	0.055285054655182	0.0284464316661578	0	0	0.00402336010105011	0.00693354013350963	0.0191468254389251	0.0728325970274391	0.0851536277651784	0.0725100655519606	0	0.036413341025183	0	0.00705853061860942	0.00504190371200711	0.0928715446978188
GSM2869347_treat	0	0.0214912964754886	0.234582277180377	0.220069308639578	0	0.100965203574342	0	0	0	0	0.0244350448088932	0.0087809334236629	0	0.0839560878333109	0.0886257976981494	0.072242815002987	0	0.00432594440209651	0.103692957763872	0	0.0368323331972415	0
GSM2869348_treat	0.0902987131905949	0.0770915461941487	0.0793928900059621	0.1791897661208	0.0600827438613546	0.0290086338547481	0.0686643511744006	0	0	0	0.0616759229671694	0	0	0.117576337904925	0.0557311836918341	0.0472771520535004	0	0.0492577328182587	0	0.0719867603912153	0	0.0127662657710885
GSM2869349_treat	0.0663764050707946	0.0614913860439806	0.377934285462512	0.0704981902902425	0	0.0890492568997763	0.0021848117352606	0.045764802379204	0	0.00840095383656165	0.000959534605677093	0	0	0.042553305537186	0.0194565206363827	0.0958032559856951	0.0219341436916255	0.0240077707829782	0	0.0104234267448687	0.0416796215017098	0.0214823287955448
GSM2869350_treat	0.0356414793085185	0.070082780748053	0.23559315729577	0.127889031399094	0	0.0303449578204248	0.0302811229368144	0.030600734219202	0	0	0.0318826387521605	0	0	0.149805768039046	0.097285532571276	0.0805114682439148	0	0.019073595150808	0.0139489574666951	0.0365129682434207	0	0.0105458078048031
GSM2869351_treat	0.0141744754440713	0.0273127975244304	0.0940945288652588	0.157001155724094	0	0.100913411271693	0.0143753498130054	0.0248826589617821	0	0.140374851187175	0	0.00644717043425599	0	0.0266305047380466	0.102132967194697	0.0876444338074062	0	0.02296950106437	0.135140610909344	0	0.0459055830603698	0
GSM2869352_treat	0.253447378070398	0.0562181000372141	0	0.0734050540022991	0	0.0751128139538124	0.061589030783462	0.0717509428663506	0	0.0115922360647358	0.0266759171731432	0	0	0.0855449723638411	0.104340420370863	0.0624677445126647	0	0.0502836115297558	0.0580127089765928	0	0	0.0095590692948674
GSM2869353_treat	0.211805204271028	0.0587728706039721	0.0837542877683291	0.0230614776134299	0	0.111821603876537	0.0524913484197315	0.0284195148536878	0	0.0101312372614126	0.0746534079257215	0	0	0.0911620949075593	0.0546747078110476	0.0617259834559735	0	0.0464328178012753	0	0.0542664367377169	0	0.036827006692578
GSM2869354_treat	0.0270044281983976	0.194015073406139	0.326661705854515	0.136434351090954	0	0.023068367782902	0.0307550196623053	0	0.00331188880474507	0.0339402231796558	0.0111077832331861	0	0	0.0662495008768578	0.0548736226765981	0.06083286616138	0	0	0	0.0272712578284369	0	0.00447391124392789
GSM2869355_treat	0.0733673788724827	0.0653937030538133	0.190967862135487	0.141520764378473	0	0	0	0.0194188332282328	0	0.0096002566939224	0.035643525406703	0	0	0.0189980673251604	0.074203539532507	0.144309581252437	0	0.0219351405379728	0.179803452875548	0	0	0.024837894707261
GSM2869356_treat	0.017503028328264	0.0694973607605637	0.433676704980025	0.15737839523914	0	0.0277953087374994	0	0.00544946677189641	0	0	0.016238792425574	0	0.00243670047357986	0.058976483561372	0.0600280267487889	0.0935512193320967	0	0.0175145841857984	0.0201874909265126	0	0.00903823720436714	0.0107282003245211
GSM2869357_treat	0.143145989792036	0.170343435202955	0.0623011820075747	0.103058220217576	0	0.0197552294347769	0.0644229602072451	0.0507476533986132	0	0	0.0706415711580446	0	0	0.0889402590776813	0.0495793727328367	0.0788439916259804	0	0.0222173640181356	0.068457308654332	0	0	0.00754546247221243
GSM2869358_treat	0.104515171699525	0.0814126213773941	0.03301078636113	0.267525963477797	0	0.019859395804608	0.00678485481041041	0.0490633413846902	0	0.0646784691409776	0	0	0	0.0592756808042376	0.0810473116888952	0.0976390826298506	0	0	0.0946020584945335	0	0.0405852623259503	0
GSM2869359_treat	0.0276649589990957	0.0715235972236166	0.239849984110244	0.231372957556134	0	0	0.0343016548727265	0.0596797369564228	0	0	0.0266001104045284	0	0.0184334022561367	0.0880413459793189	0.0584890517042918	0.0342956172538852	0	0.0290488822276535	0.0806987004559468	0	0	0
GSM2869360_treat	0.0657278291038503	0.0958300517129615	0.202922716741095	0.167686640767686	0.0343166452065961	0	0.0488549298467499	0.0352721026954499	0	0	0.0379831274659493	0	0	0.0965269426251516	0.0571573977095241	0.0466727382411799	0	0.051017126518362	0.0600317513654444	0	0	0
GSM2869361_treat	0.0776084272282916	0.0699034849045213	0.239233447805325	0.150227130161444	0	0	0.0463968373071255	0.0454967513737828	0	0	0.0487269369224526	0	0	0.106933778876225	0.0713198831474866	0.0645546412955458	0	0.020512117520357	0.0590865634574426	0	0	0
GSM2869362_treat	0	0.00350245329520474	0.170602215559596	0.235277450584068	0	0	0	0.0264711146261842	0.0173976218512208	0.0251570267306459	0	0.0192449570219718	0	0.0822453386819914	0.0468438624382535	0.112215701082562	0	0	0.253352607438622	0	0.00768965068968037	0
GSM2869363_treat	0	0.0363775189457722	0.232581965113674	0.228071095527262	0	0	0	0.0558165308961124	0	0	0.00231322818994167	0	0.0356797163664871	0.0241713457725663	0.0314999268315009	0.0590342077982179	0	0.0446830370941731	0.200925808273361	0	0.0488456191909317	0
GSM2869364_treat	0	0.0907491315823456	0.234645096353012	0.117610941785721	0	0.0149838809921363	0.068427328818289	0.0190032521104117	0	0	0.0564520257512258	0	0.0148522927989194	0.0600649183299357	0.111863473699827	0.0621559459805543	0	0.0323785734404742	0.0288644582120742	0	0	0.0879486801450728
GSM2869365_treat	0	0.0861267343565576	0.416168331063658	0.126592878022837	0	0.00583966670611842	0.00827846815521108	0.0238126226803813	0	0	0.0604694201878903	0	0	0.0837436955778015	0.0367278950066757	0.0690155719675407	0	0.0222862821942806	0	0	0	0.0609384340810471
GSM2869366_treat	0.102549807415966	0.027380477899596	0.275208415182569	0.127412153809187	0	0.0323952858931494	0.0161613210598654	0.0365592258949636	0	0	0.0479621142590063	0	0.0128601872588042	0.0956828202813326	0.0714342709159713	0.0916221011845117	0	0.0156108256399844	0.0257868221194764	0.0199367900353639	0	0.00143738115025285
GSM2869367_treat	0.226285215542259	0.120406565571848	0.0153903262221311	0.079845499507481	0	0.0314294066557007	0.0537211497562059	0.0953993795434464	0	0.00174675093969241	0.0501346501158104	0	0	0.0825736508128215	0.0567271341777176	0.0848182523579067	0	0.0253793058348918	0.0710820370783403	0.00145132217133054	0	0.00360935371241629
GSM2869368_treat	0	0.0783457629378732	0.176852045044255	0.114418364884382	0	0	0.127142635556026	0.00667618158505102	0	0	0.0621024259967761	0	0.0121401311501152	0.0411773733048461	0.135529461333284	0.0425353459365361	0	0.0267671503927321	0.0308691934694456	0	0	0.145443928408678
GSM2869391_treat	0.0155900697478343	0.0835426668262279	0.184496255587674	0.0520116613502696	0.00522163910349081	0.0729146566952349	0.0572439021131876	0.00710513721210863	0	0	0.0574159015228462	0	0.0374155136366818	0.114406808843946	0.0693670639053244	0.0254928977229546	0	0.0248199469704669	0.151464246701549	0.00322648128303869	0	0.0382651507771645
GSM2869392_treat	0	0.0205496544387438	0.414206803122793	0.149038249168021	0	0.0125042169556128	0	0	0.0579084064335754	0	0.0206352181406814	0.026040014609245	0.0200874540812019	0.0729046894541885	0	0.127261700690333	0	0.0428134795096416	0.0360501133959629	0	0	0
GSM2869393_treat	0.0474954141156477	0.122679478522136	0.0360734502009304	0.166434187546879	0.113753886573472	0.0266662811679932	0.0352170835881026	0	0	0	0.0398884203865126	0	0.0472567732212644	0.100286871059509	0.048016456440461	0.0358421827606885	0	0.0715973035665968	0.00833118903536168	0.0819175401010065	0	0.0185434817134391
GSM2869394_treat	0.0075885953286561	0.0984992069406851	0.224530237219078	0.130180103306993	0	0	0.0328747517943876	0.0428537065613663	0	0	0.0394061320737863	0	0.00503002509442103	0.105726303738643	0.0671728527141242	0.0553864566116208	0	0.0332260876014429	0.147020273417653	0	0	0.0105052675971432
GSM2869395_treat	0.0178764272297671	0.0577260088445386	0.156484998431513	0.124318934093815	0	0.0133896227129585	0.0731787420773359	0.0136267664186905	0	0	0.0459114239371827	0	0.0254336612057666	0.0541779853797488	0.142327213493257	0.0971858447120121	0	0.0245442964432235	0.0163518372816677	0.0295254465305524	0	0.107940791207969
GSM2869396_treat	0.122053562332517	0.148331904408262	0.17825739030099	0.0535671689472977	0	0.0137658736100074	0.0457272003600203	0.0776595024494089	0	0	0.0417703130126242	0	0	0.155707071659268	0.0448325551968066	0.0404026542305737	0	0.0311439411717674	0.00107538311965645	0.0166007448387563	0	0.0291047343620451
GSM2869397_treat	0	0	0.122716224255679	0.0166688166985474	0	0.0221935138922107	0.0393007790551784	0.0237761528691618	0	0	0.0406533177335984	0	0.00739005401542661	0.0577668382206631	0.0522826380089525	0.0737275287415027	0	0.128691271465815	0.0470841991227451	0	0	0.367748665920519
GSM2869398_treat	0	0.093815549841457	0.108420564425541	0.0753592508215316	0	0	0.104467607951566	0.0510044593318754	0	0	0.0482442402884077	0.0205378994157602	0.0600947111566399	0.014680351921298	0.147904568791154	0.132538084421312	0	0.0299382639749355	0.0495673155761742	0	0	0.0634271320823476
GSM2869399_treat	0.117349564870391	0.103521761376476	0.225201446945187	0.0990621167850529	0.0103414710063047	0.0131509513803828	0.0207321631490913	0.0453718076752094	0	0	0.0194145206646854	0	0.00704470937521209	0.146332440870031	0.050454684916318	0.0356472651836416	0	0.0324462928538254	0.0739288029481925	0	0	0
GSM2869400_treat	0.0947699904357691	0.169403770703706	0.185838170374596	0.0854033698843703	0.0110557321617833	0.0208013453493694	0.0448926961000468	0.0290669591116909	0	0	0.00585371271266454	0	0	0.177332702779848	0.0430768677661632	0.0417602257841412	0	0.0434035229407502	0.0466247378953229	0	0	0.000716195999778219
GSM2869401_treat	0.0407497553441112	0.0418583587953981	0.157259034452647	0.0282872159325008	0	0.0773767027255593	0.0203180804218868	0.0222011721169449	0	0	0.00629293364294096	0	0.00901814702147481	0.0969740839046567	0.0439509921971379	0.00327794478180247	0	0.0743780916821444	0	0.120464421940059	0	0.257593065040735
GSM2869402_treat	0	0.0418398621891419	0.316444837033684	0.16204081349125	0	0.0822117693625396	0.0464826348142807	0	0	0.00562996828815008	0	0	0.0149425143138042	0.0636326846481686	0.0425250598141283	0.121107530457259	0	0.0336613624949897	0.0694809630926038	0	0	0
GSM2869403_treat	0.0311383779420435	0.114389076081761	0.212728385231051	0.0307450790935207	0.0167022911660692	0.107743519377959	0.0420476432827966	0.0256439043343517	0	0	0.0989724733538968	0	0	0.0848650806570228	0.0661926500227851	0.028177073544037	0	0.0482471572040554	0.013481476119626	0.0615859853582898	0	0.0173398272307351
GSM2869404_treat	0	0.077155932006105	0.322541191679098	0.174637619420049	0.00480291803804831	0.022248333005322	0.0191001121603863	0	0.00121517761470703	0	0.0706988833719953	0	0	0.102111977561706	0.0366865807390911	0.0783242349857261	0	0.0235201165461181	0	0.0669569228716474	0	0
GSM2869406_treat	0	0	0.272509557062429	0.00503686157224711	0	0.13895455712796	0.0475020163027629	0	0	0	0.0264532232400699	0	0.0256924824854021	0.103035547939645	0.0330793158209716	0.0190788126829271	0	0.0976227575596177	0.0354980897111926	0.0278149969370642	0	0.16772178155771
GSM2869407_treat	0	0.0777466635863789	0.436938798911038	0.0792040506522657	0.0250712733796007	0	0.00923911343394603	0	0	0	0.0231928610780727	0	0	0.0635773714125019	0.0735172365371585	0.122239361411226	0	2.4358150552952e-05	0.0779343436155409	0	0	0.0113145678317173
GSM2869408_treat	0.0598646056981811	0.0928471564412035	0.189980826294347	0.14750368071854	0	0.0830936549100087	0.0170880279131163	0	0	0	0.0844132060852883	0	0	0.089482757877963	0.0243660730445957	0.0789216872264256	0	0.0341425486720551	0.0546813219774204	0.0381799040422353	0	0.00543454909861977
GSM2869409_treat	0	0.0238214724846992	0.314401214446594	0.0431650836955156	0	0.13294742763285	0.0394935953188315	0	0	0	0.0775762709481008	0	0.0409088328152154	0.0499703848739294	0.0960720035836796	0.0325442103516634	0	0.0155559873590202	0.0166737375257071	0.057010937422892	0.0153633882535374	0.0444954532877646
GSM2869410_treat	0.0270879372642006	0.116491466405042	0.324909055980931	0.0348143080980984	0.0233785227989199	0.0127239354891104	0.0147877928683512	0.0178747757012834	0	0	0.0705741927904183	0	0	0.117125423455075	0.0634983565196268	0.0851333438188785	0	0	0	0.0550973410974887	0	0.0365035477125754
GSM2869411_treat	0.0737095291348193	0.0948597037430136	0.0223429689020378	0.130137609201037	0.0967323228071089	0.0823833801083519	0.0620830663147522	0	0	0	0.0516542746747883	0	0.0314216838030271	0.130738649890208	0.0433883741960466	0.033983936402091	0	0.0630910417889368	0.000829742637012435	0.0643086574680685	0	0.0183350589287004
GSM2869412_treat	0	0.0679271892376476	0.383996266028732	0.0812965169561913	0	0	0.0359156318291704	0	0	0.013311427307118	0.031329433451395	0	0	0.0769145001114015	0.0989504058922899	0.0989410251769446	0	0.00633476605261296	0.0426367173411078	0	0	0.0624461206153887
