"sample","cohort","set","label","subgroup","DDC","TSPAN7","LCN2","RHOU","SOCS3","ANXA1","SERPINA1","CHST2","FGR","PDE6A","TRPM6","CATSPERB","MOGAT2","SERPING1","KDELR3","ME1","VLDLR","PCK1","MAOA","ADH1C","ADH6","PFKFB3","SLC2A3","PPARG"
"GSM2869442","GSE107499","discovery",0,"Control",0.514414225909766,1.27438731376997,1.90430868458444,1.07885334127259,-0.842612011126135,0.582457174062813,1.05000602656913,-0.155297776959357,-0.698928962643155,0.43947085681398,1.55908103086674,-0.431998570334075,-0.133137007722288,0.613483972686,0.0322071689053767,0.346839019549576,0.888434937351038,1.07416664818714,1.36866858059726,2.47375054093667,0.490931288888282,-0.437600499830722,-0.607343583110553,1.83849899762043
"GSM2869443","GSE107499","discovery",0,"Control",0.507199583217046,1.33177893965656,1.85464060069887,1.21961081115869,-0.712997673859135,0.671584216947405,1.05565132779177,-0.0589545696721208,-0.738319376866089,0.520771174141323,1.70645392272334,-0.334400139689104,-0.140152195823183,0.685778586042858,-0.016449041880644,0.223236022147041,0.780145918847547,1.28102512024058,1.42862681804846,2.45445904842782,0.523957541402604,-0.428610058911212,-0.605858454834727,1.892142736858
"GSM2869444","GSE107499","discovery",0,"Control",0.510011892673873,0.898333064655249,2.34962446995776,0.934051623752193,-0.25773528311144,0.680123333880857,0.973729221241837,0.190573012509478,-0.419485475016413,-0.098772950397037,1.04359495485112,0.465821615452902,-0.187900027008261,0.653885682182418,0.593840784948982,0.586120995315389,-0.292221770658138,0.898795584070709,1.39801950886376,2.3747660966111,0.313241290322834,-0.370557228113281,-0.280314818597201,1.70052267184946
"GSM2869445","GSE107499","discovery",0,"Control",0.383158870626379,1.09081502857495,2.52272019985624,0.699915169352501,-0.57861855722524,0.62283196921494,1.77381561895463,-0.118192702143199,-0.701297003605502,-0.348643792124273,1.12418031824193,0.701692059359133,0.00965290820263038,0.303361615592118,0.813883585276303,0.588139452572768,-0.512299866964876,0.296737838259898,1.57170183437309,2.23643218206009,0.385653179209246,-0.358837611230976,-0.419485475016413,1.24200991993992
"GSM2869446","GSE107499","discovery",0,"Control",0.65044692666741,1.54619319110072,2.12067126521544,1.05511223109236,-0.825988096781174,0.520594308971428,1.16339232139858,-0.369730253859741,-0.806378489934115,0.41662016985177,1.38420079209343,-0.247371056128534,-0.00239388634415464,0.348151469036863,0.437600499830722,-0.201751619506326,0.486406490681441,1.30344922075016,1.77830191391442,2.3747660966111,0.572603596757427,-0.378841032534453,-0.509660133774756,1.81635403493659
"GSM2869447","GSE107499","discovery",0,"Control",0.462897167883865,1.29126669889338,1.76568227446564,1.12099015808137,-0.751978349514872,0.502462877016616,0.890269842076134,0.0806298950116691,-0.674683654748683,0.476002348365538,1.54212283811368,-0.400670178096338,-0.110419862153344,0.571875920696909,-0.056324653569921,0.245778943296808,0.829033159575182,1.2115278677786,1.36748740750741,2.45133096010861,0.535152122104575,-0.39448577477243,-0.31729913208856,1.82119835933131
"GSM2869448","GSE107499","discovery",0,"Control",0.233381486500618,0.938360555099322,2.45761133947537,0.493197456991522,-0.541221531472627,0.667718966820463,1.83766260104447,0.412244535788872,-0.423029733637853,-0.447479826222309,1.05727046176086,0.479811161032243,-0.28851660109606,0.665211896820448,0.654842264139519,0.613670405497673,-0.510187795788283,0.162961983537889,1.43034297063383,2.3055873102049,0.178790404823716,-0.398161153651224,-0.392316465312892,1.11206050145221
"GSM2869449","GSE107499","discovery",0,"Control",0.479984453959619,1.41546703147124,1.22254025996674,0.966312442169273,-1.01061730446664,0.483279767181921,1.15192218748647,-0.0649894774627723,-1.13735179400267,0.365599159872524,0.996815704159956,-0.108089331802961,-0.0600375937943571,0.884088978434228,0.0567887275864555,0.0318981219262858,0.214061529039994,1.17748533253943,1.54670378976168,2.60988368482747,0.624145023970829,-0.471682514672807,-0.543368433447442,1.99065533438729
"GSM2869450","GSE107499","discovery",0,"Control",0.548387649802344,1.56273642722916,1.62893314803185,0.893488159376823,-0.804882919418861,0.501586948160257,1.0613304740869,0.0023938863441545,-0.899026915895042,0.311781732496039,1.01190498119907,-0.410059680269761,-0.0204652760705879,0.800832555849771,0.00594613415001605,-0.051065971604112,0.354887250311767,1.35114751809263,1.59496131309448,2.60068593925342,0.537648890909797,-0.490234513851976,-0.483279767181921,2.04131061102042
"GSM2869451","GSE107499","discovery",0,"Control",0.228939951316449,0.988474090336538,2.5340452858987,0.578983771782479,-0.435222256502964,0.814313831633084,1.7745608574784,0.382161815157444,-0.49040868528599,-0.42742524360417,1.37659232834685,0.706639538720693,-0.225294926921262,0.636767909134838,0.810661525451938,0.627714470242848,-0.348479675044741,0.624520380108678,1.32506089452201,2.25962182328629,0.110575252029175,-0.398662757554696,-0.489015729745503,1.13088789293217
"GSM2869452","GSE107499","discovery",0,"Control",0.576064211283167,1.56958096001407,1.47928761051646,1.10265116581132,-0.765572030547441,0.553060750891376,0.925485363758801,0.120525925903239,-0.640176409931569,0.608086649681075,0.912996069473609,-0.454661128694134,-0.216432484954224,0.517766675001624,0.00270277561385511,0.213429477856261,0.720785851727593,1.48159789384562,1.68563090313301,2.4639901774655,0.556483357697799,-0.423198640126338,-0.460491769441872,1.89492544410046
"GSM2869453","GSE107499","discovery",0,"Control",0.498436782152486,1.29769227516189,1.38058681971017,1.08051313701877,-0.726605509003169,0.544980254556736,1.00445963825658,0.12675110017088,-0.617216694971183,0.584288104283251,0.834708773599363,-0.313241290322834,-0.258853063909479,0.600486015168846,0.0173758392470831,0.110730644575003,0.657907363678543,1.28807380995636,1.61740102940852,2.48375241460822,0.483626947116616,-0.451409561827457,-0.489537976741057,1.83184351418
"GSM1900150","GSE73661","discovery",0,"Control",0.729020848673436,2.22527404736431,1.44510343073326,1.56012330368154,-0.308378672956349,0.720185212523945,1.21928596243365,0.253905326144484,0.0305074477945848,-0.585021024819034,1.72393457386871,-0.960172158419231,1.37619408567215,-0.226245512346277,0.909954358713029,0.352256753562336,0.175338949290484,2.34477006075542,1.6225637899696,2.08137192058283,0.285458795730462,0.384821477156377,-0.588323067437812,1.47469058438472
