"workflow","selector","classifier","heldout_cohort","auc","n_selector_genes","n_model_genes","error"
"univ_top10 + glmnet_0.25","univ_top10","glmnet_0.25","GSE75214",0.98875351452671,10,10,""
"rf_top5 + glmnet_0.25","rf_top5","glmnet_0.25","GSE75214",0.978444236176195,5,5,""
"rf_top10 + glmnet_0.25","rf_top10","glmnet_0.25","GSE75214",0.980318650421743,10,10,""
"all + glmnet_0.5","all","glmnet_0.5","GSE75214",0.987816307403936,24,16,""
"lasso + glmnet_0.5","lasso","glmnet_0.5","GSE75214",0.985004686035614,6,6,""
"enet_025 + glmnet_0.5","enet_025","glmnet_0.5","GSE75214",0.979381443298969,9,9,""
"enet_050 + glmnet_0.5","enet_050","glmnet_0.5","GSE75214",0.985941893158388,13,12,""
"enet_075 + glmnet_0.5","enet_075","glmnet_0.5","GSE75214",0.986879100281162,10,10,""
"univ_top5 + glmnet_0.5","univ_top5","glmnet_0.5","GSE75214",0.987816307403936,5,5,""
"univ_top10 + glmnet_0.5","univ_top10","glmnet_0.5","GSE75214",0.98875351452671,10,8,""
"rf_top5 + glmnet_0.5","rf_top5","glmnet_0.5","GSE75214",0.97282099343955,5,5,""
"rf_top10 + glmnet_0.5","rf_top10","glmnet_0.5","GSE75214",0.970946579194002,10,7,""
"all + glmnet_0.75","all","glmnet_0.75","GSE75214",0.98875351452671,24,10,""
"lasso + glmnet_0.75","lasso","glmnet_0.75","GSE75214",0.983130271790066,6,6,""
"enet_025 + glmnet_0.75","enet_025","glmnet_0.75","GSE75214",0.979381443298969,9,8,""
"enet_050 + glmnet_0.75","enet_050","glmnet_0.75","GSE75214",0.985941893158388,13,12,""
"enet_075 + glmnet_0.75","enet_075","glmnet_0.75","GSE75214",0.986879100281162,10,10,""
"univ_top5 + glmnet_0.75","univ_top5","glmnet_0.75","GSE75214",0.986879100281162,5,5,""
"univ_top10 + glmnet_0.75","univ_top10","glmnet_0.75","GSE75214",0.992502343017807,10,8,""
"rf_top5 + glmnet_0.75","rf_top5","glmnet_0.75","GSE75214",0.977507029053421,5,5,""
"rf_top10 + glmnet_0.75","rf_top10","glmnet_0.75","GSE75214",0.981255857544517,10,9,""
"all + glmnet_1","all","glmnet_1","GSE75214",0.985941893158388,24,7,""
"lasso + glmnet_1","lasso","glmnet_1","GSE75214",0.981255857544517,6,6,""
"enet_025 + glmnet_1","enet_025","glmnet_1","GSE75214",0.979381443298969,9,8,""
"enet_050 + glmnet_1","enet_050","glmnet_1","GSE75214",0.98406747891284,13,11,""
"enet_075 + glmnet_1","enet_075","glmnet_1","GSE75214",0.978444236176195,10,9,""
"univ_top5 + glmnet_1","univ_top5","glmnet_1","GSE75214",0.986879100281162,5,5,""
"univ_top10 + glmnet_1","univ_top10","glmnet_1","GSE75214",0.981255857544517,10,10,""
"rf_top5 + glmnet_1","rf_top5","glmnet_1","GSE75214",0.970009372071228,5,3,""
"rf_top10 + glmnet_1","rf_top10","glmnet_1","GSE75214",0.968134957825679,10,4,""
"all + svm_linear","all","svm_linear","GSE75214",0.975632614807873,24,24,""
"lasso + svm_linear","lasso","svm_linear","GSE75214",0.986879100281162,6,6,""
"enet_025 + svm_linear","enet_025","svm_linear","GSE75214",0.978444236176195,9,9,""
"enet_050 + svm_linear","enet_050","svm_linear","GSE75214",0.985941893158388,13,13,""
"enet_075 + svm_linear","enet_075","svm_linear","GSE75214",0.985941893158388,10,10,""
"univ_top5 + svm_linear","univ_top5","svm_linear","GSE75214",0.98406747891284,5,5,""
"univ_top10 + svm_linear","univ_top10","svm_linear","GSE75214",0.985004686035614,10,10,""
"rf_top5 + svm_linear","rf_top5","svm_linear","GSE75214",0.973758200562324,5,5,""
"rf_top10 + svm_linear","rf_top10","svm_linear","GSE75214",0.981255857544517,10,10,""
"all + svm_radial","all","svm_radial","GSE75214",0.996251171508904,24,24,""
"lasso + svm_radial","lasso","svm_radial","GSE75214",0.973758200562324,6,6,""
"enet_025 + svm_radial","enet_025","svm_radial","GSE75214",0.973758200562324,9,9,""
"enet_050 + svm_radial","enet_050","svm_radial","GSE75214",0.991565135895033,13,13,""
"enet_075 + svm_radial","enet_075","svm_radial","GSE75214",0.990627928772259,10,10,""
"univ_top5 + svm_radial","univ_top5","svm_radial","GSE75214",0.987816307403936,5,5,""
"univ_top10 + svm_radial","univ_top10","svm_radial","GSE75214",0.987816307403936,10,10,""
"rf_top5 + svm_radial","rf_top5","svm_radial","GSE75214",0.983130271790066,5,5,""
"rf_top10 + svm_radial","rf_top10","svm_radial","GSE75214",0.973758200562324,10,10,""
"all + rf","all","rf","GSE75214",0.992502343017807,24,24,""
"lasso + rf","lasso","rf","GSE75214",0.98875351452671,6,6,""
"enet_025 + rf","enet_025","rf","GSE75214",0.994376757263355,9,9,""
"enet_050 + rf","enet_050","rf","GSE75214",0.994376757263355,13,13,""
"enet_075 + rf","enet_075","rf","GSE75214",0.994376757263355,10,10,""
"univ_top5 + rf","univ_top5","rf","GSE75214",0.981255857544517,5,5,""
"univ_top10 + rf","univ_top10","rf","GSE75214",0.989690721649485,10,10,""
"rf_top5 + rf","rf_top5","rf","GSE75214",0.981255857544517,5,5,""
"rf_top10 + rf","rf_top10","rf","GSE75214",0.985941893158388,10,10,""
"all + gbm","all","gbm","GSE75214",0.991565135895033,24,24,""
"lasso + gbm","lasso","gbm","GSE75214",0.978444236176195,6,6,""
"enet_025 + gbm","enet_025","gbm","GSE75214",0.987816307403936,9,9,""
"enet_050 + gbm","enet_050","gbm","GSE75214",0.991565135895033,13,13,""
"enet_075 + gbm","enet_075","gbm","GSE75214",0.98875351452671,10,10,""
"univ_top5 + gbm","univ_top5","gbm","GSE75214",0.986879100281162,5,5,""
"univ_top10 + gbm","univ_top10","gbm","GSE75214",0.985004686035614,10,10,""
"rf_top5 + gbm","rf_top5","gbm","GSE75214",0.983130271790066,5,5,""
"rf_top10 + gbm","rf_top10","gbm","GSE75214",0.985004686035614,10,10,""
"all + lda","all","lda","GSE75214",0.992502343017807,24,24,""
"lasso + lda","lasso","lda","GSE75214",0.977507029053421,6,6,""
"enet_025 + lda","enet_025","lda","GSE75214",0.978444236176195,9,9,""
"enet_050 + lda","enet_050","lda","GSE75214",0.987816307403936,13,13,""
