ID	T_cells	CD8_T_cells	Cytotoxic_lymphocytes	B_lineage	NK_cells	Monocytic_lineage	Myeloid_dendritic_cells	Neutrophils	Endothelial_cells	Fibroblasts
139	GSM2869407_treat	7.01428228571429	5.84507	5.66924628571429	8.29832655555556	5.33256614285714	7.915917	5.320763	7.10582476923077	6.91759396875	9.5833485
140	GSM2869408_treat	7.00596164285714	5.807814	5.84488257142857	8.048271	5.69108942857143	6.94507342857143	6.0793556	6.72182692307692	6.4396958125	8.593309125
141	GSM2869409_treat	6.88521042857143	5.612083	5.67551	7.42734444444444	5.83886571428571	7.44690057142857	5.6844864	7.33996907692308	7.12040359375	9.134186625
142	GSM2869410_treat	7.56168314285714	6.2507	5.74951728571429	8.97870966666667	5.30649542857143	7.81287971428571	5.620332	7.59512692307692	7.16828996875	9.72349175
143	GSM2869411_treat	8.1753585	6.875799	6.15672471428571	8.92290555555556	5.40724557142857	7.90450642857143	6.3796776	6.91676630769231	6.8121520625	9.055713125
144	GSM2869412_treat	7.2372515	6.055218	5.97403657142857	8.36725144444445	5.295006	8.47114814285714	5.4560476	7.47198346153846	6.83352159375	9.58809625
145	GSM2869413_treat	7.135251	6.040362	6.04683714285714	8.05951433333333	5.63096028571429	7.12118428571429	5.8195672	6.70115853846154	6.4661306875	8.421030875
146	GSM2869414_treat	6.792311	5.552803	5.71597057142857	7.75616611111111	5.58494642857143	7.246677	5.9518018	7.17978823076923	6.54216584375	8.638272625
147	GSM2869415_treat	6.63782535714286	5.398088	5.54395885714286	7.15511788888889	5.80102314285714	7.26828871428571	5.519919	7.04844607692308	6.88121684375	8.655632375
148	GSM2869416_treat	7.48208878571429	6.267242	6.58502671428571	8.09405822222222	5.64423842857143	7.38059142857143	6.0808972	6.573024	6.55396821875	8.529910625
149	GSM2869417_treat	7.15696978571429	6.045458	5.75826585714286	8.611182	5.20766785714286	8.12911028571428	5.3787896	8.02549115384615	7.0827068125	9.995234125
150	GSM2869418_treat	7.13579928571429	5.908665	5.82618728571429	8.07920711111111	5.93028242857143	7.849204	6.0430388	7.42354915384615	6.85708028125	9.27293375
151	GSM2869419_treat	7.47188864285714	6.031503	5.96581285714286	8.52992644444445	5.65253171428571	7.12217257142857	6.4113436	6.76556469230769	6.573343	8.612098125
152	GSM2869420_treat	7.48452671428571	6.103122	5.90661514285714	9.15710288888889	5.55019585714286	7.731108	5.9269802	6.84890315384615	6.64375434375	9.051309875
153	GSM2869421_treat	6.61653692857143	5.555743	5.66431	7.05326544444444	5.37370628571429	7.57747471428571	5.688244	7.213999	6.8644409375	9.167399625
154	GSM2869422_treat	7.54131771428571	6.315594	6.31481957142857	8.59796277777778	5.63117471428571	7.49194957142857	5.928823	6.59681623076923	6.5661613125	8.742031125
155	GSM2869423_treat	7.23698407142857	5.96218	5.73531885714286	8.86614633333333	5.21385371428571	8.06063028571429	5.5226346	7.431237	6.790803125	9.653458
156	GSM2869424_treat	7.43257592857143	5.820607	6.02769328571429	8.87512888888889	5.49790771428571	7.51497914285714	6.5140774	6.88791261538462	6.67608809375	9.0194685
157	GSM2869425_treat	6.80408164285714	5.396885	5.74822457142857	6.34504	5.28650542857143	7.74768457142857	5.7989238	8.032209	7.35682615625	9.240960125
158	GSM2869426_treat	6.73823757142857	5.668791	5.944428	7.34501088888889	5.70076771428571	7.14973142857143	5.6167508	6.78239869230769	6.4713821875	8.007266
159	GSM2869427_treat	7.01003814285714	5.730543	5.80117342857143	7.91504133333333	5.81229557142857	6.35857385714286	5.7984948	6.70173661538462	6.70140521875	8.487856125
160	GSM2869428_treat	6.78095214285714	5.521273	5.46557142857143	7.01053777777778	5.82025142857143	7.31789042857143	5.5451954	7.35617192307692	6.8584000625	8.497598
161	GSM2869429_treat	6.941784	5.856593	5.56513785714286	7.87301788888889	5.70385785714286	7.358902	5.6170756	7.51762507692308	6.9981425	8.91356975
162	GSM2869430_treat	6.77926492857143	5.343045	5.89296371428571	6.52216166666667	5.40449928571429	7.845386	5.7459584	8.58949115384615	7.3884174375	9.356551625
163	GSM2869431_treat	7.23008457142857	6.016133	5.74587471428571	8.89580422222222	5.318618	7.905357	5.4360784	7.62406430769231	6.982299	9.720766125
164	GSM1900148_treat	7.58121014285714	6.866646	7.19301671428571	8.42440077777778	5.81130485714286	8.040847	5.5568128	7.78320115384615	7.06306821875	10.1735955
165	GSM1900154_treat	7.02961571428571	6.40992	6.22707142857143	7.00759633333333	5.60061128571429	7.68371585714286	5.5836134	8.19903592307692	6.40100021875	8.101511125
166	GSM1900155_treat	7.41665871428571	6.248347	5.64065342857143	9.46751744444444	5.32663128571429	7.88802642857143	5.3304036	7.69618969230769	6.26147246875	8.562220625
167	GSM1900158_treat	6.27019671428571	5.508912	5.51739442857143	6.166479	5.31859785714286	7.10248285714286	5.0473486	7.04651415384615	6.00018340625	7.2998155
168	GSM1900172_treat	6.81716635714286	5.424407	5.60012314285714	7.89470666666667	5.46468071428571	7.49275157142857	5.3990708	7.83641423076923	6.41539996875	8.655517625
